audit_scope,audit_date,numeric_id,qc_id,resource_id,title,publisher,source_type,primary_focus_area,additional_focus_areas,focus_areas,workflow_references,canonical_url,final_url,verification_date,url_status,currency_status,archived_status,duplicate_status,directory_status,qc_disposition,human_review_reason,notes
Connecticut v1 Pre-Release / Internal Beta,2026-08-16,3,CT1,ct-release-based-cleanup-program,Release-Based Cleanup Program,Connecticut Department of Energy and Environmental Protection,government-agency,Site Remediation,,Site Remediation,release-discovery-cleanup-entry,https://portal.ct.gov/deep/remediation--site-clean-up/release-based-cleanup-program/release-based-cleanup-program,https://portal.ct.gov/deep/remediation--site-clean-up/release-based-cleanup-program/release-based-cleanup-program,"August 13, 2026",HTTP 200,CURRENT,NOT DETECTED,NONE,DISCOVERABLE,PASS,,
Connecticut v1 Pre-Release / Internal Beta,2026-08-16,4,CT2,ct-environmental-cleanup-overview,Environmental Cleanup — REACT Portal & Overview,Connecticut Department of Energy and Environmental Protection,government-agency,Site Remediation,,Site Remediation,,https://portal.ct.gov/deep/remediation--site-clean-up/environmental-cleanup,https://portal.ct.gov/deep/remediation--site-clean-up/environmental-cleanup,"August 3, 2026",HTTP 200,CURRENT,NOT DETECTED,NONE,DISCOVERABLE,PASS,,
Connecticut v1 Pre-Release / Internal Beta,2026-08-16,5,CT3,ct-technical-impracticability-variance,Technical Impracticability (TI) Variance,Connecticut Department of Energy and Environmental Protection,government-agency,Site Remediation,,Site Remediation,,https://portal.ct.gov/deep/remediation--site-clean-up/remediation-standard-regulations/technical-impracticability-variance,https://portal.ct.gov/deep/remediation--site-clean-up/remediation-standard-regulations/technical-impracticability-variance,"August 13, 2026",HTTP 200,CURRENT,NOT DETECTED,NONE,DISCOVERABLE,PASS,,
Connecticut v1 Pre-Release / Internal Beta,2026-08-16,6,CT4,ct-engineered-controls-overview,Engineered Controls (ECs) — Overview,Connecticut Department of Energy and Environmental Protection,government-agency,Site Remediation,,Site Remediation,,https://portal.ct.gov/deep/remediation--site-clean-up/remediation-standard-regulations/engineered-control-variances,https://portal.ct.gov/deep/remediation--site-clean-up/remediation-standard-regulations/engineered-control-variances,"August 13, 2026",HTTP 200,CURRENT,NOT DETECTED,NONE,DISCOVERABLE,PASS,,
Connecticut v1 Pre-Release / Internal Beta,2026-08-16,7,CT5,ct-lep-program,Licensed Environmental Professional (LEP) Program,Connecticut Department of Energy and Environmental Protection,government-agency,Site Remediation,Site Assessment,Site Remediation; Site Assessment,,https://portal.ct.gov/DEEP/Remediation--Site-Clean-Up/Licensed-Environmental-Professional-Program,https://portal.ct.gov/DEEP/Remediation--Site-Clean-Up/Licensed-Environmental-Professional-Program,"August 13, 2026",HTTP 200,CURRENT,NOT DETECTED,NONE,DISCOVERABLE,PASS,,
Connecticut v1 Pre-Release / Internal Beta,2026-08-16,8,CT6,ct-lep-verifications,LEP Verifications — Forms & Instructions,Connecticut Department of Energy and Environmental Protection,government-agency,Site Remediation,,Site Remediation,,https://portal.ct.gov/DEEP/Remediation--Site-Clean-Up/Licensed-Environmental-Professional-Program/LEP-Verifications,https://portal.ct.gov/DEEP/Remediation--Site-Clean-Up/Licensed-Environmental-Professional-Program/LEP-Verifications,"August 3, 2026",HTTP 200,CURRENT,NOT DETECTED,NONE,DISCOVERABLE,PASS,,
Connecticut v1 Pre-Release / Internal Beta,2026-08-16,9,CT7,ct-release-remediation-closure-report-guide,Release Remediation Closure Report Guide,Connecticut Department of Energy and Environmental Protection,government-agency,Site Remediation,,Site Remediation,,https://portal.ct.gov/-/media/deep/site_clean_up/guidance/release-closure-report-guide.pdf?rev=c4e56f0b69004524853af96fd7d46dd4&hash=38D618CF133EC48744CF2AD6F3F3FE42,https://portal.ct.gov/-/media/deep/site_clean_up/guidance/release-closure-report-guide.pdf?rev=c4e56f0b69004524853af96fd7d46dd4&hash=38D618CF133EC48744CF2AD6F3F3FE42,"August 3, 2026",HTTP 200,CURRENT,NOT DETECTED,NONE,DISCOVERABLE,PASS,,
Connecticut v1 Pre-Release / Internal Beta,2026-08-16,10,CT8,ct-voluntary-remediation-programs,Voluntary Remediation Programs — Overview,Connecticut Department of Energy and Environmental Protection,government-agency,Site Remediation,,Site Remediation,,https://portal.ct.gov/DEEP/Remediation--Site-Clean-Up/Voluntary-Remediation-Program/Voluntary-Remediation-Programs,https://portal.ct.gov/DEEP/Remediation--Site-Clean-Up/Voluntary-Remediation-Program/Voluntary-Remediation-Programs,"August 13, 2026",HTTP 200,CURRENT,NOT DETECTED,NONE,DISCOVERABLE,PASS,,
Connecticut v1 Pre-Release / Internal Beta,2026-08-16,11,CT9,ct-remediation-forms,Remediation Forms — Central Repository,Connecticut Department of Energy and Environmental Protection,government-agency,Site Remediation,,Site Remediation,,https://portal.ct.gov/DEEP/Remediation--Site-Clean-Up/Remediation-Forms,https://portal.ct.gov/DEEP/Remediation--Site-Clean-Up/Remediation-Forms,"August 3, 2026",HTTP 200,CURRENT,NOT DETECTED,NONE,DISCOVERABLE,PASS,,
Connecticut v1 Pre-Release / Internal Beta,2026-08-16,13,CT10,ct-ms4-general-permit,General Permit for the Discharge of Stormwater from Small Municipal Separate Storm Sewer Systems,Connecticut Department of Energy and Environmental Protection,government-agency,Stormwater,,Stormwater,municipal-stormwater,https://portal.ct.gov/-/media/deep/permits_and_licenses/water_discharge_general_permits/ms4gppdf.pdf?rev=421850aa07984de88c7c825e88355341&hash=99644DE204762AF74E214EBADBA561A0,https://portal.ct.gov/-/media/deep/permits_and_licenses/water_discharge_general_permits/ms4gppdf.pdf?rev=421850aa07984de88c7c825e88355341&hash=99644DE204762AF74E214EBADBA561A0,"August 13, 2026",HTTP 200,CURRENT,NOT DETECTED,NONE,DISCOVERABLE,PASS WITH NOTE,,Current administrative-continuation status is explicitly documented in canonical metadata.
