audit_scope,audit_date,workflow_id,title,business_line,jurisdiction,route,section_count,relationship_count,references_resolve,explorer_discoverable,search_discoverable,desktop_status,mobile_status,content_status,qc_disposition,human_review_reason,notes
Connecticut v1 Pre-Release / Internal Beta,2026-08-16,phase-i-esa,Phase I Environmental Site Assessment,Site Assessment,ct,workflow.html?workflow=phase-i-esa&jurisdiction=ct,4,9,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"All relationship notes were reviewed for navigation-focused, non-determinative language."
Connecticut v1 Pre-Release / Internal Beta,2026-08-16,phase-ii-esa,Phase II Environmental Site Assessment,Site Assessment,ct,workflow.html?workflow=phase-ii-esa&jurisdiction=ct,3,7,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"All relationship notes were reviewed for navigation-focused, non-determinative language."
Connecticut v1 Pre-Release / Internal Beta,2026-08-16,vapor-intrusion,Vapor Intrusion Evaluation & Investigation,Site Assessment,ct,workflow.html?workflow=vapor-intrusion&jurisdiction=ct,4,6,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"All relationship notes were reviewed for navigation-focused, non-determinative language."
Connecticut v1 Pre-Release / Internal Beta,2026-08-16,release-discovery-cleanup-entry,"Release Discovery, Reporting & Cleanup Entry",Remediation,ct,workflow.html?workflow=release-discovery-cleanup-entry&jurisdiction=ct,2,6,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"All relationship notes were reviewed for navigation-focused, non-determinative language. Transition or state/federal layering nuance is documented in canonical verification metadata."
Connecticut v1 Pre-Release / Internal Beta,2026-08-16,construction-stormwater,Construction Stormwater Permit & SPCP,Stormwater,ct,workflow.html?workflow=construction-stormwater&jurisdiction=ct,4,7,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"All relationship notes were reviewed for navigation-focused, non-determinative language."
Connecticut v1 Pre-Release / Internal Beta,2026-08-16,industrial-stormwater,Industrial Stormwater Permit & SWPPP,Stormwater,ct,workflow.html?workflow=industrial-stormwater&jurisdiction=ct,4,6,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"All relationship notes were reviewed for navigation-focused, non-determinative language."
Connecticut v1 Pre-Release / Internal Beta,2026-08-16,municipal-stormwater,MS4 / Municipal Stormwater Compliance,Stormwater,ct,workflow.html?workflow=municipal-stormwater&jurisdiction=ct,2,3,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"All relationship notes were reviewed for navigation-focused, non-determinative language. Transition or state/federal layering nuance is documented in canonical verification metadata."
Connecticut v1 Pre-Release / Internal Beta,2026-08-16,hazardous-waste-generator-compliance,Hazardous Waste Generator Compliance,Waste & Materials,ct,workflow.html?workflow=hazardous-waste-generator-compliance&jurisdiction=ct,4,7,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"All relationship notes were reviewed for navigation-focused, non-determinative language. Transition or state/federal layering nuance is documented in canonical verification metadata."
Connecticut v1 Pre-Release / Internal Beta,2026-08-16,waste-characterization,Waste Characterization & Hazardous Waste Determination,Waste & Materials,ct,workflow.html?workflow=waste-characterization&jurisdiction=ct,4,7,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"All relationship notes were reviewed for navigation-focused, non-determinative language. Transition or state/federal layering nuance is documented in canonical verification metadata."
Connecticut v1 Pre-Release / Internal Beta,2026-08-16,spcc-plan,SPCC Plan Development & Compliance,Tanks & Oil,ct,workflow.html?workflow=spcc-plan&jurisdiction=ct,4,8,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"All relationship notes were reviewed for navigation-focused, non-determinative language."
Connecticut v1 Pre-Release / Internal Beta,2026-08-16,ust-registration-compliance,Underground Storage Tank Registration & Compliance,Tanks & Oil,ct,workflow.html?workflow=ust-registration-compliance&jurisdiction=ct,4,7,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"All relationship notes were reviewed for navigation-focused, non-determinative language. Transition or state/federal layering nuance is documented in canonical verification metadata."
Connecticut v1 Pre-Release / Internal Beta,2026-08-16,industrial-pretreatment,Industrial Pretreatment Permitting & Compliance,Water & Wastewater,ct,workflow.html?workflow=industrial-pretreatment&jurisdiction=ct,3,8,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"All relationship notes were reviewed for navigation-focused, non-determinative language."
Connecticut v1 Pre-Release / Internal Beta,2026-08-16,municipal-inland-wetlands,Municipal Inland Wetlands & Watercourses Permitting,Natural Resources,ct,workflow.html?workflow=municipal-inland-wetlands&jurisdiction=ct,4,7,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"All relationship notes were reviewed for navigation-focused, non-determinative language."
Connecticut v1 Pre-Release / Internal Beta,2026-08-16,coastal-structures-permitting,"Coastal Structures, Dredging & Tidal Wetlands Permitting",Coastal,ct,workflow.html?workflow=coastal-structures-permitting&jurisdiction=ct,3,7,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"All relationship notes were reviewed for navigation-focused, non-determinative language."
Connecticut v1 Pre-Release / Internal Beta,2026-08-16,stationary-source-air-authorization,New & Modified Stationary Source Air Authorization,Air,ct,workflow.html?workflow=stationary-source-air-authorization&jurisdiction=ct,3,6,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"All relationship notes were reviewed for navigation-focused, non-determinative language."
